-1024646312,6/3/10,711,315,520,280,,,,,,,,,,1115,3,1.06,13,8,1,1,23,35.5786,1285,hillslope,,,,,,1,88,0.51,0.433,0.392,0.336,0.189,0.006,1.367,0,6.62,2.1,,355.26,0.28,118.6,,0.657
-1004761724,10/20/10,611,35,53,11.25,,,,,,,,,,99,3,0.949,16,3,0,0,19,36.0916,1606,rheocrene,,7.34,910,16.3,290,0.98,62,0.66,0.559,0.187,0,0,0,0.695,0.027,1.76,40.89,0.01,7.28,5.55,,0,0.833
-971031729,5/30/10,508,100,100,100,,,,,,,,,,300,3,1.099,14,8,5,0,27,33.5094,1634,rheocrene,0.02,7.58,614,28.82,388,0.95,225,0.25,0.036,0.034,0.099,0,0.018,1.302,0.007,,,1.5,6.16,1.52,,,0.861
-925114875,8/20/10,597,132.25,492,20.25,,,,,,,,,,645,3,0.64,30,5,1,2,38,34.4412,2254,rheocrene,,8.57,469,19.7,,0.97,244,0.36,0.671,0.092,0.029,0.207,0,1.022,0.031,292.62,32.28,7.04,79.31,20.7,0.79,,0.993
-910058349,10/10/09,427,16,100,,,,,,,,,,,116,2,0.401,18,3,3,1,25,34.4391,2309,hillslope,0.01,7.01,410,8.9,,0.98,294,0.63,0.727,0.197,0.103,0.043,0,0.966,0.008,0.48,0.15,0.1,52.84,30.48,0.08,0.23,0.732
-901441688,9/10/11,1191,40,40,40,,,,,,,,,,120,3,1.099,5,7,0,0,12,36.4203,1937,rheocrene,,,,,,0,77,0.57,0.073,0.098,0,0,0,0.818,0.007,,0.4,,7.2,0.4,,,0.394
-889573804,8/16/11,849,28,112.5,,,,,,,,,,,141,2,0.499,18,7,0,2,27,49.014,1664,hillslope,0.15,7.16,97,3.1,90,0.57,115,0.36,0.453,0.553,0,0.104,0,1.14,0.098,1.69,39.66,,14.99,3.36,0.56,,0.926
-854311815,6/28/10,557,38,186,,367,,,,,,,,,591,3,0.836,17,0,0,0,17,33.8904,2698,hillslope,0.18,7.51,605,10,,1,170,0.06,0.952,0,0,0,0,0.033,0.005,489.52,4.1,,42.8,20.77,5.7,,0.521
-850621416,3/24/13,130,33.2,172,560,5.3,,,,,,,,,771,4,0.736,4,5,2,1,12,35.9628,408,rheocrene,15,7.52,728,23.5,,0.81,23,0.87,0.176,0.481,0.317,0.23,0,1.328,0.003,126.64,,,0.06,,8.6,,0.24
-836967340,6/14/12,310,14,48,25,84,,,,,,,,,171,4,1.192,8,10,2,0,20,36.5274,1835,hillslope,0.2,7.85,696,11.5,270,0.64,268,0.49,0.39,0.346,0.142,0,0.002,1.037,0.001,8.56,,,26.86,31.06,0.26,,1.008
-825941003,7/26/11,1180,16,144,160,,,,,,,,,,320,3,0.856,20,9,3,2,34,36.3204,2591,hillslope,,7.68,760,13.2,370,0.99,84,0.53,0.433,0.491,0.216,0.078,0.048,1.448,0.055,131.49,0.29,,3.15,2.83,0.74,,0.256
-825458035,6/3/10,500,106,25,25,4.5,,,,,,,,,161,4,0.953,19,6,2,1,28,33.5726,1768,rheocrene,,,,,503,0.97,20,0.89,0.11,0.03,0.04,0.017,0.004,1.222,0,1.61,0.25,,1.86,0.3,,0,1.09
-816787537,6/28/00,717,2.5,11.1,51.5,,,,,,,,,,65,3,0.612,5,1,0,2,8,36.3996,2359,hillslope,0.42,,,6,,0.95,27,0.85,0.866,0.019,0,0.02,0,0.208,0,,3.13,,53.21,,,,0.215
-809380208,5/31/12,1363,52,32,115,5,,,,,,,,,204,4,1.053,4,9,2,1,16,36.445,2050,hillslope,0.02,7.24,468,10.4,37,0.84,233,0.29,0.015,0.423,0.198,0.14,0,1.091,0.004,0.64,0,,2.3,,0.12,,0.673
-804232509,5/26/12,17989,100,3350,,,,,,,,,,,3450,2,0.131,17,4,0,0,21,36.4325,1700,hillslope,,7.94,363,14.9,250,0,98,0.46,0.019,0.687,0,0,0.002,0.144,0,16.92,43.51,0.1,4.71,,1,,0.886
-796581945,8/12/13,1136,28.3,9,42.9,,,,,,,,,,80,3,0.948,7,2,2,0,11,35.032718,1908,hillslope,,7.15,649,15.3,,0,219,0.22,0.339,0.032,0.745,0,0.006,0.963,0.085,16.71,0.61,,0.43,,0.14,1.71,0.576
-740035963,8/16/13,777,35,78.5,11,46,16,4,25,,,,,,216,7,1.662,20,1,1,1,23,35.0954,1977,rheocrene,,,,,,0,,,0.295,0.008,0.054,0.008,0,0.943,0.062,23.26,19.9,,9.44,0.64,0.01,0,1.092
-731357443,7/28/10,572,210,270,130,,,,,,,,,,610,3,1.057,27,6,0,0,33,49.3177,1849,hillslope,0.02,,,,,0.93,45,0.75,0.511,0.144,0,0,0,0.663,0.024,22.95,38.34,,29.44,54.89,,9.4,1.481
-728335563,7/19/13,1298,133.8,228.4,,,,,,,,,,,362,2,0.659,14,6,5,1,26,35.01109254,1694.69,rheocrene,0.75,7.77,254,14.4,,0,261,0.45,0.72,0.082,0.708,0.295,0.181,1.369,0,114.73,12.56,,7.99,2.28,0.13,123.05,1.014
-712462261,5/31/10,517,7.5,,,,,,,,,,,,8,1,0,6,3,0,0,9,33.5327,1684,rheocrene,,,,,,0.86,210,0.17,0.248,0.34,0,0,0,0.966,0.08,0.3,0.16,,,1.4,,,0.716
-708013872,6/5/09,10267,160,160,300,,,,,,,,,,620,3,1.05,6,12,0,0,18,36.7186,1631,rheocrene,0.01,8.29,493,18.17,,0,128,0.29,0.043,0.519,0,0,0,0.272,0,1.5,,4.8,0.8,18.2,,,0.829
-655558104,6/19/13,576,13,14.9,,,,,,,,,,,28,2,0.691,21,0,0,0,21,34.4473,2278,helocrene,0.07,7.12,274,10.4,,0,359,0.99,0.74,0,0,0,0,0,0,8.89,6.34,,2.98,1.13,1.3,,1.338
